Adm_No,Date,Present
1,2026-07-01,True
2,2026-07-01,True
3,2026-07-01,False
4,2026-07-01,False
5,2026-07-01,False
6,2026-07-01,False
7,2026-07-01,True
8,2026-07-01,False
9,2026-07-01,True
10,2026-07-01,False
11,2026-07-01,True
12,2026-07-01,True
13,2026-07-01,False
14,2026-07-01,True
15,2026-07-01,True
16,2026-07-01,True
17,2026-07-01,False
18,2026-07-01,True
19,2026-07-01,False
20,2026-07-01,False
21,2026-07-01,True
22,2026-07-01,True
23,2026-07-01,False
24,2026-07-01,False
25,2026-07-01,True
26,2026-07-01,True
27,2026-07-01,False
28,2026-07-01,False
29,2026-07-01,False
30,2026-07-01,False
31,2026-07-01,True
32,2026-07-01,False
33,2026-07-01,True
34,2026-07-01,False
35,2026-07-01,True
36,2026-07-01,False
37,2026-07-01,True
38,2026-07-01,True
39,2026-07-01,True
40,2026-07-01,False
41,2026-07-01,True
42,2026-07-01,False
43,2026-07-01,False
44,2026-07-01,True
45,2026-07-01,False
46,2026-07-01,False
47,2026-07-01,True
48,2026-07-01,False
49,2026-07-01,True
50,2026-07-01,True
51,2026-07-01,False
52,2026-07-01,False
53,2026-07-01,False
54,2026-07-01,True
55,2026-07-01,True
56,2026-07-01,False
57,2026-07-01,True
58,2026-07-01,True
59,2026-07-01,True
60,2026-07-01,False
61,2026-07-01,False
62,2026-07-01,False
63,2026-07-01,True
64,2026-07-01,False
65,2026-07-01,True
66,2026-07-01,True
67,2026-07-01,False
68,2026-07-01,True
69,2026-07-01,False
70,2026-07-01,True
71,2026-07-01,False
72,2026-07-01,True
73,2026-07-01,False
74,2026-07-01,True
75,2026-07-01,False
76,2026-07-01,True
77,2026-07-01,False
78,2026-07-01,False
79,2026-07-01,True
80,2026-07-01,False
81,2026-07-01,True
82,2026-07-01,True
83,2026-07-01,False
84,2026-07-01,False
85,2026-07-01,True
86,2026-07-01,True
87,2026-07-01,True
88,2026-07-01,True
89,2026-07-01,True
90,2026-07-01,True
91,2026-07-01,False
92,2026-07-01,True
93,2026-07-01,True
94,2026-07-01,True
95,2026-07-01,True
96,2026-07-01,False
97,2026-07-01,False
98,2026-07-01,False
99,2026-07-01,True
100,2026-07-01,False
101,2026-07-01,False
102,2026-07-01,True
103,2026-07-01,False
104,2026-07-01,False
105,2026-07-01,False
106,2026-07-01,False
107,2026-07-01,False
108,2026-07-01,False
109,2026-07-01,False
110,2026-07-01,False
111,2026-07-01,True
112,2026-07-01,False
113,2026-07-01,False
114,2026-07-01,True
115,2026-07-01,False
116,2026-07-01,False
117,2026-07-01,True
118,2026-07-01,False
119,2026-07-01,True
120,2026-07-01,False
121,2026-07-01,True
122,2026-07-01,True
123,2026-07-01,True
124,2026-07-01,False
125,2026-07-01,True
126,2026-07-01,False
127,2026-07-01,True
128,2026-07-01,True
129,2026-07-01,False
130,2026-07-01,False
131,2026-07-01,True
132,2026-07-01,False
133,2026-07-01,True
134,2026-07-01,False
135,2026-07-01,True
136,2026-07-01,False
137,2026-07-01,True
138,2026-07-01,False
139,2026-07-01,True
140,2026-07-01,True
141,2026-07-01,False
142,2026-07-01,True
143,2026-07-01,True
144,2026-07-01,False
145,2026-07-01,True
146,2026-07-01,False
147,2026-07-01,True
148,2026-07-01,True
149,2026-07-01,True
