Adm_No,Subject,Marks,Percentage,Term
1,Maths,42.7,53.1,Mid
2,Maths,57.6,61.3,Final
3,Maths,84.8,89.6,Mid
4,Maths,44.4,41.6,Final
5,Maths,8.9,25.4,Mid
6,Maths,51.5,63.5,Final
7,Maths,41.9,39.1,Mid
8,Maths,56.7,69.6,Final
9,Maths,54.1,55.2,Mid
10,Maths,71.9,69.6,Final
11,Maths,75.4,77.5,Mid
12,Maths,62.0,65.0,Final
13,Maths,75.1,73.6,Mid
14,Maths,33.6,42.5,Final
15,Maths,88.1,69.3,Mid
16,Maths,66.4,73.7,Final
17,Maths,63.1,53.5,Mid
18,Maths,57.2,49.8,Final
19,Maths,38.7,59.2,Mid
20,Maths,49.9,61.9,Final
21,Maths,84.9,81.3,Mid
22,Maths,76.7,55.0,Final
23,Maths,41.3,33.5,Mid
24,Maths,100.0,94.6,Final
25,Maths,38.9,41.4,Mid
26,Maths,100.0,92.5,Final
27,Maths,94.6,82.5,Mid
28,Maths,42.9,75.4,Final
29,Maths,40.5,45.1,Mid
30,Maths,76.1,82.6,Final
31,Maths,79.6,90.4,Mid
32,Maths,79.3,77.1,Final
33,Maths,94.5,78.8,Mid
34,Maths,60.5,62.2,Final
35,Maths,39.8,46.9,Mid
36,Maths,93.1,90.4,Final
37,Maths,45.9,42.0,Mid
38,Maths,82.4,79.0,Final
39,Maths,53.5,66.5,Mid
40,Maths,78.1,65.4,Final
41,Maths,72.8,88.7,Mid
42,Maths,42.8,53.9,Final
43,Maths,31.4,23.7,Mid
44,Maths,76.4,63.6,Final
45,Maths,37.5,42.3,Mid
46,Maths,77.3,83.5,Final
47,Maths,42.4,48.7,Mid
48,Maths,85.1,96.3,Final
49,Maths,31.5,37.5,Mid
50,Maths,86.6,95.9,Final
51,Maths,66.9,76.2,Mid
52,Maths,87.1,90.4,Final
53,Maths,77.9,77.0,Mid
54,Maths,95.8,88.4,Final
55,Maths,91.9,92.5,Mid
56,Maths,39.3,39.5,Final
57,Maths,83.4,86.2,Mid
58,Maths,67.8,76.9,Final
59,Maths,39.8,41.1,Mid
60,Maths,51.3,46.2,Final
61,Maths,69.7,65.1,Mid
62,Maths,78.9,85.8,Final
63,Maths,76.1,77.4,Mid
64,Maths,62.7,54.9,Final
65,Maths,84.1,80.9,Mid
66,Maths,32.1,39.2,Final
67,Maths,33.8,46.9,Mid
68,Maths,57.3,82.4,Final
69,Maths,54.0,40.8,Mid
70,Maths,80.1,57.1,Final
71,Maths,32.0,24.6,Mid
72,Maths,41.4,50.0,Final
73,Maths,33.9,37.1,Mid
74,Maths,53.1,59.5,Final
75,Maths,48.3,51.5,Mid
76,Maths,99.6,96.4,Final
77,Maths,36.6,32.0,Mid
78,Maths,71.2,80.7,Final
79,Maths,94.7,91.5,Mid
80,Maths,5.9,32.7,Final
81,Maths,74.0,59.6,Mid
82,Maths,44.8,58.5,Final
83,Maths,83.6,83.0,Mid
84,Maths,74.1,69.1,Final
85,Maths,63.8,61.7,Mid
86,Maths,49.0,43.9,Final
87,Maths,74.3,61.3,Mid
88,Maths,67.7,73.9,Final
89,Maths,55.6,53.4,Mid
90,Maths,57.0,63.4,Final
91,Maths,71.3,59.9,Mid
92,Maths,80.5,82.0,Final
93,Maths,40.0,41.3,Mid
94,Maths,57.3,59.5,Final
95,Maths,80.2,76.8,Mid
96,Maths,86.9,87.9,Final
97,Maths,65.6,66.6,Mid
98,Maths,42.3,46.2,Final
99,Maths,37.2,39.9,Mid
100,Maths,67.8,66.9,Final
101,Maths,76.8,66.8,Mid
102,Maths,72.3,68.8,Final
103,Maths,68.7,73.5,Mid
104,Maths,77.9,81.9,Final
105,Maths,100.0,86.4,Mid
106,Maths,24.0,39.3,Final
107,Maths,39.3,52.9,Mid
108,Maths,68.3,75.9,Final
109,Maths,71.6,65.2,Mid
110,Maths,73.4,82.4,Final
111,Maths,58.0,67.3,Mid
112,Maths,98.5,88.9,Final
113,Maths,21.1,35.7,Mid
114,Maths,81.1,74.2,Final
115,Maths,73.7,61.3,Mid
116,Maths,44.4,37.1,Final
117,Maths,57.0,54.8,Mid
118,Maths,39.2,32.1,Final
119,Maths,65.9,39.6,Mid
120,Maths,82.3,81.9,Final
121,Maths,92.4,92.0,Mid
122,Maths,100.0,89.4,Final
123,Maths,92.7,98.4,Mid
124,Maths,85.3,87.8,Final
125,Maths,100.0,87.1,Mid
126,Maths,62.7,53.1,Final
127,Maths,40.3,52.7,Mid
128,Maths,83.8,82.6,Final
129,Maths,72.3,65.0,Mid
130,Maths,80.4,81.1,Final
131,Maths,72.7,73.8,Mid
132,Maths,27.5,40.6,Final
