Adm_No,attendance_rate
1,100.0
2,100.0
3,0.0
4,0.0
5,0.0
6,0.0
7,100.0
8,0.0
9,100.0
10,0.0
11,100.0
12,100.0
13,0.0
14,100.0
15,100.0
16,100.0
17,0.0
18,100.0
19,0.0
20,0.0
21,100.0
22,100.0
23,0.0
24,0.0
25,100.0
26,100.0
27,0.0
28,0.0
29,0.0
30,0.0
31,100.0
32,0.0
33,100.0
34,0.0
35,100.0
36,0.0
37,100.0
38,100.0
39,100.0
40,0.0
41,100.0
42,0.0
43,0.0
44,100.0
45,0.0
46,0.0
47,100.0
48,0.0
49,100.0
50,100.0
51,0.0
52,0.0
53,0.0
54,100.0
55,100.0
56,0.0
57,100.0
58,100.0
59,100.0
60,0.0
61,0.0
62,0.0
63,100.0
64,0.0
65,100.0
66,100.0
67,0.0
68,100.0
69,0.0
70,100.0
71,0.0
72,100.0
73,0.0
74,100.0
75,0.0
76,100.0
77,0.0
78,0.0
79,100.0
80,0.0
81,100.0
82,100.0
83,0.0
84,0.0
85,100.0
86,100.0
87,100.0
88,100.0
89,100.0
90,100.0
91,0.0
92,100.0
93,100.0
94,100.0
95,100.0
96,0.0
97,0.0
98,0.0
99,100.0
100,0.0
101,0.0
102,100.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,100.0
112,0.0
113,0.0
114,100.0
115,0.0
116,0.0
117,100.0
118,0.0
119,100.0
120,0.0
121,100.0
122,100.0
123,100.0
124,0.0
125,100.0
126,0.0
127,100.0
128,100.0
129,0.0
130,0.0
131,100.0
132,0.0
133,100.0
134,0.0
135,100.0
136,0.0
137,100.0
138,0.0
139,100.0
140,100.0
141,0.0
142,100.0
143,100.0
144,0.0
145,100.0
146,0.0
147,100.0
148,100.0
149,100.0
150,0.0
151,0.0
152,100.0
153,0.0
154,100.0
155,100.0
156,100.0
157,0.0
158,100.0
159,0.0
160,0.0
161,100.0
162,100.0
163,0.0
164,100.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,100.0
171,100.0
172,0.0
173,0.0
174,0.0
175,0.0
176,100.0
177,100.0
178,100.0
179,0.0
180,0.0
181,100.0
182,100.0
183,0.0
184,0.0
185,100.0
186,0.0
187,100.0
188,100.0
189,0.0
190,0.0
191,100.0
192,0.0
193,0.0
194,0.0
195,0.0
196,100.0
197,0.0
198,100.0
199,100.0
200,0.0
201,100.0
202,0.0
203,100.0
204,0.0
205,100.0
206,100.0
207,100.0
208,0.0
209,0.0
210,100.0
211,100.0
212,100.0
213,0.0
214,0.0
215,100.0
216,0.0
217,100.0
218,0.0
219,100.0
220,0.0
221,0.0
222,0.0
223,100.0
224,100.0
225,100.0
226,100.0
227,0.0
228,100.0
229,0.0
230,0.0
231,0.0
232,100.0
233,100.0
234,0.0
235,100.0
236,100.0
237,100.0
238,100.0
239,0.0
240,0.0
241,100.0
242,0.0
243,100.0
244,100.0
