Adm_No,Name,Gender,Class,total_marks,avg_marks,attendance_rate
1,Student_1,Male,I,,,100.0
2,Student_2,Female,II,382.4,63.73333333333333,100.0
3,Student_3,Female,III,,,0.0
4,Student_4,Other,I,126.6,42.199999999999996,0.0
5,Student_5,Female,II,71.6,23.866666666666664,0.0
6,Student_6,Male,III,193.7,64.56666666666666,0.0
7,Student_7,Female,I,110.5,36.833333333333336,100.0
8,Student_8,Female,II,170.2,56.73333333333333,0.0
9,Student_9,Other,III,,,100.0
10,Student_10,Female,I,670.8000000000001,74.53333333333335,0.0
11,Student_11,Female,II,,,100.0
12,Student_12,Other,III,349.4,58.23333333333333,100.0
13,Student_13,Female,I,,,0.0
14,Student_14,Other,II,220.8,36.800000000000004,100.0
15,Student_15,Other,III,,,100.0
16,Student_16,Other,I,219.4,73.13333333333334,100.0
17,Student_17,Other,II,166.5,55.5,0.0
18,Student_18,Female,III,161.8,53.93333333333334,100.0
19,Student_19,Male,I,333.8,55.63333333333333,0.0
20,Student_20,Female,II,164.2,54.73333333333333,0.0
21,Student_21,Male,III,,,100.0
22,Student_22,Female,I,147.9,49.300000000000004,100.0
23,Student_23,Other,II,96.4,32.13333333333333,0.0
24,Student_24,Female,III,300.0,100.0,0.0
25,Student_25,Male,I,,,100.0
26,Student_26,Male,II,514.0,85.66666666666667,100.0
27,Student_27,Other,III,,,0.0
28,Student_28,Other,I,196.20000000000002,65.4,0.0
29,Student_29,Female,II,,,0.0
30,Student_30,Other,III,221.3,73.76666666666667,0.0
31,Student_31,Other,I,,,100.0
32,Student_32,Female,II,239.2,79.73333333333333,0.0
33,Student_33,Male,III,,,100.0
34,Student_34,Other,I,133.4,66.7,0.0
35,Student_35,Female,II,,,100.0
36,Student_36,Other,III,292.9,97.63333333333333,0.0
37,Student_37,Other,I,,,100.0
38,Student_38,Female,II,217.60000000000002,72.53333333333335,100.0
39,Student_39,Female,III,182.60000000000002,60.866666666666674,100.0
40,Student_40,Male,I,211.89999999999998,70.63333333333333,0.0
41,Student_41,Other,II,245.3,81.76666666666667,100.0
42,Student_42,Male,III,161.1,53.699999999999996,0.0
43,Student_43,Female,I,,,0.0
44,Student_44,Female,II,189.0,63.0,100.0
45,Student_45,Male,III,126.5,42.166666666666664,0.0
46,Student_46,Female,I,259.8,86.60000000000001,0.0
47,Student_47,Other,II,,,100.0
48,Student_48,Male,III,285.1,95.03333333333335,0.0
49,Student_49,Male,I,,,100.0
50,Student_50,Male,II,555.4,92.56666666666666,100.0
51,Student_51,Male,III,,,0.0
52,Student_52,Male,I,265.5,88.5,0.0
53,Student_53,Female,II,,,0.0
54,Student_54,Other,III,548.6,91.43333333333334,100.0
55,Student_55,Other,I,277.5,92.5,100.0
56,Student_56,Other,II,103.7,34.56666666666667,0.0
57,Student_57,Other,III,,,100.0
58,Student_58,Female,I,216.6,72.2,100.0
59,Student_59,Other,II,,,100.0
60,Student_60,Male,III,153.4,51.13333333333333,0.0
61,Student_61,Other,I,368.8,61.46666666666667,0.0
62,Student_62,Male,II,225.9,75.3,0.0
63,Student_63,Other,III,214.0,71.33333333333333,100.0
64,Student_64,Male,I,175.8,58.6,0.0
65,Student_65,Male,II,,,100.0
66,Student_66,Female,III,98.6,32.86666666666667,100.0
67,Student_67,Other,I,127.0,42.333333333333336,0.0
